OBJECTID,NOMBRE,EMPRESA,DEPARTAMEN,PROVINCIA,DISTRITO,LOCALIDAD,POTENCIA_I,POTENCIA_E,SERVICIO,ALTITUD,RIO,TURBINAS,TIPO,SALTO_NETO,CAUDAL,REPRESA,geometry,X,Y
103.0,ARICOTA I,EGESUR,TACNA,CANDARAVE,CURIBAYA,CURIBAYA,24.0,22.5,1967.0,2086,Sallado-Callazas,2,Pelton,617.1,4.600000000000001,Aricota/45,POINT (-70.35595611600002 -17.399158035000028),-70.35595611600002,-17.399158035000028
104.0,ARICOTA II,EGESUR,TACNA,CANDARAVE,CURIBAYA,CHINTARICURIBAYA,12.4,10.5,1966.0,2086,Sallado-Callazas,1,Pelton,311.7,4.600000000000001,No indica - Túnel y canal,POINT (-70.398205201 -17.42095806399999),-70.398205201,-17.42095806399999
105.0,CAHUA,SN POWER,LIMA,CAJATAMBO,MANAS,CAHUA,40.0,43.114000000000004,1966.0,880,Pativilca,2,Francis,207.0,22.0,"Viconga /30,000",POINT (-77.31303211699998 -10.573657389000005),-77.31303211699998,-10.573657389000005
106.0,CALLAHUANCA,EDEGEL,LIMA,HUAROCHIRI,CALLAHUANCA,BARBABLANCA,83.0,80.433,1938.0,1395,Santa Eulalia,4,Pelton,424.0,12.5,No indica - Túnel a pelo libre,POINT (-76.62369451 -11.836673537000024),-76.62369451,-11.836673537000024
107.0,CHARCANI V,EGASA,AREQUIPA,AREQUIPA,SELVA ALEGRE,CHARCANI,145.0,144.62,1988.0,2963,Rio Chili,3,Pelton,706.4,24.900000000000002,"Aguada Blanca /1972/riego - adicionalmente energía/43,000",POINT (-71.445783801 -16.262542212000028),-71.445783801,-16.262542212000028
108.0,CHIMAY,EDEGEL,JUNIN,JAUJA,MONOBAMBA,LOS ANGELES,150.0,150.9,2000.0,1321,Tulumayo,2,Francis,192.0,82.0,"Chimay/1998/generación eléctrica/ 1,500",POINT (-75.30365951700003 -11.302958918000002),-75.30365951700003,-11.302958918000002
109.0,CURUMUY,SINERSA,PIURA,PIURA,CASTILLA,CURUMUY,12.5,0.0,1997.0,,Chira - Piura,2,Kaplan,37.0,39.0,"Poechos/1976/ riego/600,000 - Canal",POINT (-80.630762 -5.037666999999999),-80.630762,-5.037666999999999
110.0,GALLITO CIEGO,SN POWER,CAJAMARCA,CONTUMAZÁ,YONAN,TEMBLADERA,36.0,38.147,1997.0,307.3,Jequetepeque,2,Francis,83.0,40.0,Gallito Ciego / 500,POINT (-79.213392139 -7.238130087999991),-79.213392139,-7.238130087999991
111.0,HUAMPANI,EDEGEL,LIMA,LIMA,LURIGANCHO,HUAMPANÍ,31.0,30.176000000000002,1960.0,650,Rímac,2,Francis,165.0,21.0,Chosica /No indica - Toma de canal,POINT (-76.775034769 -11.973842918000003),-76.775034769,-11.973842918000003
112.0,HUANCHOR,HIDROELECTRICA HUANCHOR,LIMA,HUAROCHIRI,SAN MATEO,TAMBORAQUE,19.6,19.64,2002.0,3200,Rio Rimac,2,Francis,209.0,10.0,No indica,POINT (-76.30668920199997 -11.780221632000007),-76.30668920199997,-11.780221632000007
113.0,HUINCO,EDEGEL,LIMA,HUAROCHIRI,SAN PEDRO DE CA,HUINCO,258.0,247.34,1964.0,1877,Santa Eulalia,4,Pelton,1245.0,25.0,Sheque /430,POINT (-76.61426097399999 -11.759611575000008),-76.61426097399999,-11.759611575000008
114.0,MALPASO,SN POWER,JUNIN,YAULÍ,PACCHA,MALPASO,52.0,48.021,1936.0,3870,Mantaro,4,Francis,72.0,20.11,Upamayo/No indica - Túnel a presión,POINT (-76.03549371499997 -11.417691409999975),-76.03549371499997,-11.417691409999975
115.0,MANTARO,ELECTROPERU,HUANCAVELICA,TAYACAJA,COLCABAMBA,CAMPO ARMIÑO,798.0,670.66,1973.0,1840,Mantaro,7,Pelton,780.0,96.0,"Tablachaca / 1973 / generación eléctrica/ 7,000
(laguna 580,000)",POINT (-74.65577070799998 -12.35406988599999),-74.65577070799998,-12.35406988599999
116.0,MOYOPAMPA,EDEGEL,LIMA,LIMA,LURIGANCHO,CHOSICA,60.0,66.12,1951.0,880,Santa Eulalia,3,Pelton,460.0,17.5,Barbablanca/No indica -Túnel a pelo libre,POINT (-76.689522495 -11.927702786999987),-76.689522495,-11.927702786999987
117.0,PACHACHACA,SN POWER,JUNIN,YAULÍ,ULCUMAYO,YAULÍ,9.3,9.65,1912.0,4030,Huayacocha,4,Pelton,210.0,2.04,Pomacocha- Canal de Aduccion,POINT (-76.03561400000001 -11.621978000000013),-76.03561400000001,-11.621978000000013
118.0,PLATANAL,CELEPSA,LIMA,CAÑETE,ZUÑIGA,SAN JUANITO,220.0,222.21300000000002,2010.0,900,Rio Cañete,2,Pelton,627.0,0.0,Presa Capillucas,POINT (-75.97681426399998 -12.837619270999994),-75.97681426399998,-12.837619270999994
119.0,POECHOS I,SINERSA,PIURA,SULLANA,LANCONES,POECHOS,15.0,5.0,2004.0,,Chira - Piura,2,Kaplan,44.25,45.0,"Poechos/1976/ riego /600,000 - Salida de fondo",POINT (-80.525290805 -4.683749830000011),-80.525290805,-4.683749830000011
120.0,RESTITUCION,ELECTROPERU,HUANCAVELICA,TAYACAJA,COLCABAMBA,LOS MACHOS,210.0,215.37,1981.0,1573,Mantaro,3,Pelton,245.0,96.0,Capta agua de C.H Mantaro,POINT (-74.64231890299999 -12.34936753400001),-74.64231890299999,-12.34936753400001
121.0,YANANGO,CHINANGO,JUNIN,CHANCHAMAYO,SAN RAMÓN,SAN RAMÓN,42.0,42.61,2000.0,1716,Tarma,1,Francis,244.5,20.0,Tarma/No indica,POINT (-75.47689107000002 -11.195027965999998),-75.47689107000002,-11.195027965999998
122.0,YAUPI,SN POWER,JUNIN,JUNÍN,ULCUMAYO,YAUPI,108.0,112.68,1957.0,1327,Paucartambo,5,Pelton,488.0,25.0,Yuncan/No indica,POINT (-75.53536202100003 -10.739029562999974),-75.53536202100003,-10.739029562999974
123.0,YUNCAN,ENERSUR,PASCO,PASCO,PAUCARTAMBO,PAMPAMARCA,130.0,136.76,2005.0,1860,Rio Paucartambo,3,Pelton,0.0,0.0,,POINT (-75.64377871800002 -10.721777179000014),-75.64377871800002,-10.721777179000014
124.0,HUANZA,EMPRESA GENERACION HUANZA S.A.,LIMA,HUAROCHIRI,HUANZA,,90.60000000000001,90.60000000000001,2014.0,3352,"Pallca,Conay",2,Pelton,0.0,15.8,,POINT (-76.48413923700002 -11.657639180999979),-76.48413923700002,-11.657639180999979
125.0,SANTO DOMINGO,ELECTRONOROESTE,PIURA,MORROPON,SANTO DOMINGO,,0.1,0.1,1993.0,,,2,Francis,48.0,0.0,,POINT (-79.878536 -5.025991999999974),-79.878536,-5.025991999999974
126.0,CAÑON DEL PATO,EGENOR,ANCASH,HUAYLAS,HUALLANCA,HUALLANCA,264.0,263.49,1958.0,1400,Rio Santa,6,Pelton,398.0,72.0,Parón + Quillicocha San Diego / agricultura y energía,POINT (-77.85008094 -8.810108786),-77.85008094,-8.810108786
127.0,CARPAPATA 1,CEMENTOS ANDINO,JUNIN,TARMA,PALCA,,6.0,6.0,0.0,,,2,,0.0,0.0,,POINT (-75.55689181600002 -11.268568672000015),-75.55689181600002,-11.268568672000015
128.0,CHARCANI IV,EGASA,AREQUIPA,AREQUIPA,CAYMA,CHARCANI,14.4,15.3,1959.0,,Rio Chili,3,Francis,117.0,15.0,Toma de canal,POINT (-71.47434440900003 -16.291565433000017),-71.47434440900003,-16.291565433000017
129.0,CHIRICONGA,ELECTRONORTE,CAJAMARCA,CHANCAY,SANTA CRUZ,,2.5,1.8,1996.0,,,2,,168.0,0.0,,POINT (-79.20683616899998 -6.598666358000003),-79.20683616899998,-6.598666358000003
130.0,GERA,ELECTRO ORIENTE,SAN MARTIN,LAMAS,TARAPOTO,,8.0,8.25,1992.0,,,3,,183.0,0.0,,POINT (-76.82290178599999 -6.148267007000015),-76.82290178599999,-6.148267007000015
131.0,HERCCA,EGEMSA,CUSCO,CANCHIS,HERCCA,TOTORANI,1.3,1.02,1997.0,3600,Hercca,2,Pelton,98.0,1.0,No indica - Canal,POINT (-71.27999999999997 -14.339999999999975),-71.27999999999997,-14.339999999999975
132.0,HUAYLLACHO,SN POWER,AREQUIPA,CAYLLOMA,CAYLLOMA,CAYLLOMA,0.25,0.23,1939.0,4450,Caylloma,1,No precisa,260.0,0.15,Toma de túnel a presión,POINT (-71.72055171 -15.223924033999992),-71.72055171,-15.223924033999992
133.0,LA OROYA,SN POWER,JUNIN,YAULÍ,LA OROYA,LA OROYA,10.0,9.48,1914.0,3750,Yaulí,3,Pelton,210.0,2.04,Cut-off/54274,POINT (-75.91483787499999 -11.519330324999999),-75.91483787499999,-11.519330324999999
134.0,LA PELOTA,ELECTRO ORIENTE,CAJAMARCA,JAEN,JAEN,,3.2,2.8,1996.0,,,2,Pelton,298.0,0.0,,POINT (-78.83844399999998 -5.713888999999995),-78.83844399999998,-5.713888999999995
135.0,TARABAMBA,HIDRANDINA,LA LIBERTAD,PATAZ,BULDIBUYO,,1.1,1.0,1997.0,,,,Francis,136.0,0.0,,POINT (-77.36613899999998 -8.146319000000005),-77.36613899999998,-8.146319000000005
136.0,LLUSITA,ELECTROCENTRO,AYACUCHO,HUANCARAYLLA,HUANCAPI,,1.82,1.4,1996.0,,,2,Pelton,310.0,0.0,,POINT (-74.13135622599998 -13.625019263000013),-74.13135622599998,-13.625019263000013
137.0,MACHU PICCHU,EGEMSA,CUSCO,URUBAMBA,MACHUPICCHU,MACHUPICCHU,92.0,88.8,2001.0,1707,Vilcanota,3,Pelton,345.0,25.5,No indica - Túnel,POINT (-72.56021408999999 -13.17426870700001),-72.56021408999999,-13.17426870700001
138.0,MISAPUQUIO,SN POWER,AREQUIPA,CASTILLA,ORCOPAMPA,MISAPUQUIO,4.600000000000001,3.866,1982.0,4195,Misapuquio,2,Pelton,114.0,2.0,"Huiscahuisca-Arcata/24,083",POINT (-72.120249924 -15.021963619000019),-72.120249924,-15.021963619000019
139.0,MUYO,ELECTRO ORIENTE,AMAZONAS,BAGUA,ARAMANGO,,6.65,5.2,1996.0,,,2,Francis,132.0,0.0,,POINT (-78.4454 -5.407012000000009),-78.4454,-5.407012000000009
140.0,PARIAC,SN POWER,ANCASH,HUARAZ,HUARAZ,PARIAC,4.5,4.951000000000001,1941.0,3136,Pariac,6,Francis,34.0,2.2,No indica - Toma de canal,POINT (-77.50466 -9.568066999999985),-77.50466,-9.568066999999985
141.0,PIAS,AGUAS Y ENERGIA PERU,LA LIBERTAD,PATAZ,PIAS,PAMPARACRA,12.6,12.6,2012.0,1604,San Miguel,2,,0.0,0.0,,POINT (-77.44041313999998 -8.014090468999996),-77.44041313999998,-8.014090468999996
142.0,QUANDA,ELECTRO ORIENTE,CAJAMARCA,JAEN,JAEN,,3.5,2.8,2002.0,,,2,Pelton,255.0,0.0,,POINT (-78.80228811500001 -5.695424328000001),-78.80228811500001,-5.695424328000001
143.0,QUICAPATA,ELECTROCENTRO,AYACUCHO,HUAMANGA,CARMEN ALTO,,2.08,0.82,1965.0,,,2,Pelton,0.0,0.0,,POINT (-74.22757000000001 -13.196740999999975),-74.22757000000001,-13.196740999999975
144.0,SAN ANTONIO,SN POWER,AREQUIPA,CAYLLOMA,CAYLLOMA,CAYLLOMA,0.6,0.0,1959.0,4390,Caylloma,1,Francis,27.5,2.92,"Pariguana-Huarahuarco / 16,000",POINT (-71.80489511299999 -15.208539588000008),-71.80489511299999,-15.208539588000008
