,OBJECTID,NOMBRE,EMPRESA,DEPARTAMEN,PROVINCIA,DISTRITO,LOCALIDAD,POTENCIA_I,POTENCIA_E,SERVICIO,CENTRAL,COMBUSTIBL,UNIDADES,TENSION,geometry
0,47.0,C.T. OQUENDO,SDF SUDAMERICANA DE FIBRAS,LIMA,CALLAO,CALLAO,,30.0,30.310000000000002,2009.0,TURBOGAS,GAS NATURAL,2.0,13.8,POINT (-77.12641219199998 -11.973976291999975)
1,48.0,C.T. AGUAYTIA,TERMOSELVA,UCAYALI,PADRE ABAD,PADRE ABAD,AGUAYTIA,176.0,170.35,1997.0,GAS,GAS NATURAL,2.0,13.8,POINT (-75.493276708 -9.029591763999974)
2,49.0,C.T. CHICLAYO OESTE,EGENOR,LAMBAYEQUE,CHICLAYO,CHICLAYO,CHICLAYO,25.0,25.36,1979.0,DIESEL,DIESEL,1.0,10.5,POINT (-79.87021047299999 -6.780327764999981)
3,50.0,C.T. CHILCA 1,ENERSUR,LIMA,CAÑETE,CAÑETE,CHILCA,850.0,550.0,2007.0,CICLO COMBINADO,GAS NATURAL,4.0,16.0,POINT (-76.728147476 -12.502733827999975)
4,51.0,C.T. CHILINA,EGASA,AREQUIPA,AREQUIPA,AREQUIPA,CHILINA,35.0,18.5,1968.0,CICLO COMBINADO/DIESEL,PETROLEO,3.0,13.8,POINT (-71.53392877599998 -16.382700909999983)
5,52.0,C.T. CHIMBOTE,EGENOR,ANCASH,SANTA,CHIMBOTE,CHIMBOTE,20.0,13.39,1974.0,GAS,DIESEL,1.0,13.8,POINT (-78.60059160499998 -9.062693974000013)
6,53.0,C.T. ILO 2,ENERSUR,MOQUEGUA,ILO,ILO,CARRETERA SUR,135.0,0.0,2000.0,VAPOR,CARBON,1.0,17.0,POINT (-71.18941132100002 -17.775908070000014)
7,54.0,C.T. INDEPENDENCIA,EGESUR,ICA,PISCO,INDEPENDENCIA,2 PALMAS,24.0,22.96,2010.0,GAS,GAS NATURAL,4.0,10.5,POINT (-75.968373294 -13.715498018000005)
8,55.0,C.T. KALLPA,KALLPA GENERACION S.A.,LIMA,CAÑETE,CHILCA,CHILCA,870.0,566.0,2007.0,CICLO COMBINADO,GAS NATURAL,4.0,16.5,POINT (-76.72812047000002 -12.499351628)
9,56.0,C.T. LAS FLORES,EGENOR,LIMA,CAÑETE,CHILCA,CHILCA,192.8,0.0,2010.0,GAS,GAS NATURAL,1.0,16.5,POINT (-76.71727583199998 -12.520837031999974)
10,57.0,C.T. MALACAS,EEPSA,PIURA,TALARA,PARIÑAS,MALACA,97.28,0.0,1974.0,GAS,GAS NATURAL,1.0,13.8,POINT (-81.26554993299999 -4.536315378999973)
11,58.0,C.T. MOLLENDO,EGASA,AREQUIPA,ISLAY,MOLLENDO,PAMPAS DE PUCARA,30.0,21.36,1998.0,DIESEL,PETROLEO,3.0,13.8,POINT (-71.99649942999997 -17.025920385000006)
12,59.0,C.T. PIURA,EGENOR,PIURA,PIURA,PIURA,PIURA,55.0,55.4,1960.0,DIESEL,DIESEL,8.0,5.0,POINT (-80.63667043599997 -5.187780189000023)
13,60.0,C.T. SANTA ROSA,EDEGEL,LIMA,LIMA,LIMA,BARRIOS ALTOS,447.0,425.91,1982.0,GAS,GAS NATURAL,4.0,16.5,POINT (-77.012272914 -12.039247809000017)
14,61.0,C.T. TABLAZO,SDE PIURA,PIURA,PAITA,PIURA,COLAN,30.0,26.84,2012.0,GAS,GAS NATURAL,1.0,13.8,POINT (-81.06176215300002 -5.065036941000017)
15,62.0,C.T. TRUJILLO EMERGENCIA,EGENOR,LA LIBERTAD,TRUJILLO,TRUJILLO,TRUJILLO,68.0,20.36,2009.0,DIESEL,DIESEL,2.0,10.0,POINT (-79.05701627299999 -8.044393155000023)
16,63.0,C.T. VENTANILLA,EDEGEL,LIMA,CALLAO,VENTANILLA,VENTANILLA,485.0,470.22,1997.0,CICLO COMBINADO,GAS NATURAL,4.0,16.0,POINT (-77.11806241800002 -11.935833253999988)
