,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
0,411.0,SEAL,JESUS,33.0,S.E. JESUS,20.0,1.0,POINT (-71.47772802600002 -16.414298700000018)
1,412.0,SEAL,CHALLAPAMPA,33.0,S.E. CHALLAPAMPA,25.0,1.0,POINT (-71.55701797699999 -16.383325418000027)
2,413.0,SEAL,MOLLENDO,33.0,S.E. MOLLENDO,5.0,1.0,POINT (-72.01881913699998 -17.02343507400002)
3,414.0,SEAL,PARQUE INDUSTRIAL,33.0,S.E. PARQUE INDUSTRIAL,40.0,2.0,POINT (-71.54772518499999 -16.418670150000025)
4,415.0,TRANSMANTARO,COTARUSE,220.0,S.E. COTARUSE,0.0,0.0,POINT (-73.30140224600001 -14.532672581999975)
5,416.0,ISA PERU,PUCALLPA,138.0,S.E. PUCALLPA,85.0,2.0,POINT (-74.615614768 -8.400229844000023)
6,417.0,EGENOR,HUALLANCA,138.0,S.E. HUALLANCA EGN,3.0,1.0,POINT (-77.85255504100002 -8.813040527999988)
7,418.0,ABENGOA,KIMAN AYLLU,220.0,S.E. KIMAN AYLLU,118.0,2.0,POINT (-77.87252946699999 -8.775190506000001)
8,419.0,HIDRANDINA,CAJAMARCA,60.0,S.E. CAJAMARCA,25.0,1.0,POINT (-78.50769545499998 -7.17779772199998)
9,420.0,REP,CHICLAYO OESTE,220.0,S.E. CHICLAYO OESTE,265.0,6.0,POINT (-79.86989180799998 -6.7820244399999865)
10,421.0,HIDRANDINA,CARHUAZ,60.0,S.E. CARHUAZ,5.0,1.0,POINT (-77.64780398300002 -9.273956861999977)
11,422.0,REP,CHIMBOTE NORTE,138.0,S.E. CHIMBOTE1,26.0,1.0,POINT (-78.58395900099998 -9.059055949000026)
12,423.0,HIDRANDINA,HUARAZ,60.0,S.E. HUARAZ,20.0,1.0,POINT (-77.53731199999999 -9.511545000000012)
13,424.0,EGENOR,NEPEÑA,138.0,S.E. NEPEÑA,7.0,1.0,POINT (-78.44338796 -9.235051173999977)
14,425.0,MINERA SANTA LUISA,HUALLANCA NUEVA,220.0,S.E. HUALLANCA NUEVA,20.0,1.0,POINT (-76.94180746 -9.901743002999979)
15,426.0,REP,TINGO MARIA,220.0,S.E. TINGO MARIA,100.0,2.0,POINT (-75.992052839 -9.28947182799999)
16,427.0,REP,AUCAYACU,138.0,S.E. AUCAYACU,27.0,2.0,POINT (-76.112955043 -8.937212155999987)
17,428.0,REP,PARAMONGA NUEVA,220.0,S.E. PARAMONGA NUEVA_220,95.0,2.0,POINT (-77.74170429899999 -10.68029866400002)
18,429.0,REP,HUANUCO,138.0,S.E. HUANUCO,53.0,2.0,POINT (-76.23864857500001 -9.937766567999972)
19,430.0,QUIMPAC,PARAMONGA EXISTENTE,138.0,S.E. PARAMONGA EXISTENTE,0.0,0.0,POINT (-77.822477951 -10.670954484999982)
20,431.0,ABENGOA,CONOCOCHA,220.0,S.E. CONOCOCHA,0.0,0.0,POINT (-77.25226890900001 -10.102872244000025)
21,432.0,ABENGOA,CARHUAMAYO-ISA,220.0,S.E. CARHUAMAYO NUEVA,0.0,0.0,POINT (-76.03253595799998 -10.920514376000028)
22,433.0,ETESELVA,AGUAYTIA,220.0,S.E. AGUAYTIA,60.0,1.0,POINT (-75.49346530499997 -9.03076868300002)
23,434.0,ANTAMINA,ANTAMINA,220.0,S.E. ANTAMINA,225.0,3.0,POINT (-77.043743984 -9.56170001800001)
24,435.0,ANTAMINA,VIZCARRA,220.0,S.E. VIZCARRA CMA,0.0,0.0,POINT (-76.93292100000002 -9.894515000000013)
25,436.0,HIDRANDINA,CARAZ,60.0,S.E. CARAZ,6.5,1.0,POINT (-77.80333000000002 -9.062187999999992)
26,437.0,REP,PARAGSHA 2,138.0,S.E. PARAGSHA2,0.0,0.0,POINT (-76.277114256 -10.673234911000009)
27,438.0,ENERSUR,SANTA ISABEL,220.0,S.E. SANTA ISABEL,120.0,1.0,POINT (-75.643900342 -10.722352780999984)
28,439.0,ELECTROANDES,CARHUAMAYO,138.0,S.E. CARHUAMAYO,30.0,1.0,POINT (-76.05719490000001 -10.930101229000002)
29,440.0,CEMENTOS ANDINO,CARIPA,138.0,S.E. CARIPA,0.0,0.0,POINT (-75.889492658 -11.371502678000013)
30,441.0,CEMENTOS ANDINO,CONDORCOCHA,138.0,S.E. CONDORCOCHA,80.0,4.0,POINT (-75.778137689 -11.378577248)
31,442.0,REP,PACHACHACA,220.0,S.E. PACHACHACA_220,0.0,0.0,POINT (-76.06449789599998 -11.632971123000004)
32,443.0,REP,POMACOCHA,220.0,S.E. POMACOCHA_220,50.0,1.0,POINT (-76.13227252000001 -11.733959544000015)
33,444.0,ELECTROANDES,OROYA NUEVA,138.0,S.E. OROYA NUEVA,200.0,2.0,POINT (-75.91766799999999 -11.532436000000018)
34,445.0,REP,CARABAYLLO,220.0,S.E. CARABAYLLO REP,1200.0,2.0,POINT (-76.96293007999998 -11.796945122000011)
35,446.0,EDELNOR,CHILLON,220.0,S.E. CHILLON,240.0,2.0,POINT (-77.11680813999999 -11.931572768000024)
36,447.0,EDEGEL,CAJAMARQUILLA,220.0,S.E. CAJAMARQUILLA,330.0,3.0,POINT (-76.88052131199998 -11.968539138999972)
37,448.0,REP,ZAPALLAL,220.0,S.E. ZAPALLAL,180.0,1.0,POINT (-77.047873015 -11.827422220000017)
38,449.0,LUZ DEL SUR,BALNEARIOS,220.0,S.E. BALNEARIOS,593.0,6.0,POINT (-76.99483462299997 -12.112329858999999)
39,450.0,LUZ DEL SUR,SAN JUAN,60.0,S.E. SAN JUAN,410.0,3.0,POINT (-76.97417900900001 -12.177036046000012)
40,451.0,REP,CHAVARRIA,220.0,S.E. CHAVARRIA,0.0,0.0,POINT (-77.066206282 -11.997688170999993)
41,452.0,TRANSMANTARO,LA PLANICIE,220.0,S.E. PLANICIE,0.0,0.0,POINT (-76.84276229900001 -12.088092999000025)
42,453.0,TRANSMANTARO,CHILCA,500.0,S.E. CHILCA CTM TSM,600.0,1.0,POINT (-76.72547772299998 -12.495830988000023)
43,454.0,REP,HUAYUCACHI,220.0,S.E. HUAYUCACHI_220,80.0,2.0,POINT (-75.22466001200002 -12.13192987399998)
44,455.0,ELECTROPERU,CAMPO ARMIÑO,220.0,C.H. MANTARO,840.0,7.0,POINT (-74.650760693 -12.358279620000019)
45,456.0,ELECTROANDES,COBRIZA 2,60.0,S.E. COBRIZA 2,26.0,1.0,POINT (-74.376336901 -12.589435273999982)
46,457.0,ELECTRO CENTRO,HUANTA,60.0,S.E. HUANTA,12.0,1.0,POINT (-74.24192383100001 -12.936970676999977)
47,458.0,ELECTRO CENTRO,MOLLEPATA,60.0,S.E. MOLLEPATA,0.0,0.0,POINT (-74.22057161200001 -13.118080458999998)
48,459.0,REP,ICA,220.0,S.E. ICA_220,100.0,2.0,POINT (-75.692073091 -14.055220393000013)
49,460.0,EGEMSA,CACHIMAYO,138.0,S.E. CACHIMAYO,66.0,4.0,POINT (-72.07150453700001 -13.475496287999988)
50,461.0,REP,HUANCAVELICA,220.0,S.E. HUANCAVELICA_220,30.0,1.0,POINT (-74.952635751 -12.784604048999995)
51,462.0,REP,DESIERTO,220.0,S.E. DESIERTO,50.0,2.0,POINT (-76.177097866 -13.26578142400001)
52,463.0,REP,INDEPENDENCIA,220.0,S.E. INDEPENDENCIA_220,100.0,2.0,POINT (-75.96808217099999 -13.716607271999976)
53,464.0,ACEROS AREQUIPA,ACEROS AREQUIPA,220.0,S.E. ACEROS AREQUIPA,246.0,5.0,POINT (-76.16699208699998 -13.785008635999986)
54,465.0,EDE CAÑETE,CANTERA,220.0,S.E. CANTERA,25.0,1.0,POINT (-76.30253985000002 -13.061177014999998)
55,466.0,REP,SAN NICOLAS,60.0,S.E. SAN NICOLAS,112.5,3.0,POINT (-75.24676235300001 -15.255471981000028)
56,467.0,ELECTRO SUR ESTE,SAN GABAN,138.0,S.E. SAN GABAN,0.0,0.0,POINT (-70.46057330100001 -13.64581726199998)
57,468.0,ELECTRO SUR ESTE,PTO MALDONADO,138.0,S.E. PUERTO MALDONADO,35.0,1.0,POINT (-69.22217124600002 -12.588704010000015)
58,469.0,REP,QUENCORO,138.0,S.E. QUENCORO,52.0,4.0,POINT (-71.90649167499998 -13.54635672400002)
59,470.0,ELECTRO SUR ESTE,MAZUCO,138.0,S.E. MAZUKO,12.0,1.0,POINT (-70.36276467900001 -13.095532774999981)
60,471.0,SAN GABAN,SAN RAFAEL,138.0,S.E. SAN RAFAEL,24.0,1.0,POINT (-70.32142732400001 -14.230935090000003)
61,472.0,EGEMSA,MACHU PICCHU,138.0,S.E. MACHUPICCHU,25.0,1.0,POINT (-72.560973477 -13.175252806000003)
62,473.0,REP,JULIACA,138.0,S.E. JULIACA,72.0,3.0,POINT (-70.11983635000001 -15.508861876000026)
63,474.0,REP,PUNO,220.0,S.E. PUNO,185.0,3.0,POINT (-70.05166267700002 -15.832163907999984)
64,475.0,SAN GABAN,AZANGARO,138.0,S.E. AZANGARO,59.5,2.0,POINT (-70.20555979900001 -14.914358526000001)
65,476.0,EGESUR,ARICOTA 2,138.0,C.H. ARICOTA2,30.0,1.0,POINT (-70.39854244399999 -17.421177192000016)
66,477.0,TACNA SOLAR,TACNA SOLAR,60.0,S.E. SOLAR TACNA,20.0,1.0,POINT (-70.33367359900001 -17.994533191000016)
67,478.0,ELECTROSUR,LOS HEROES,220.0,S.E. HEROES ELS,0.0,0.0,POINT (-70.317044485 -17.999181545)
68,479.0,ENERSUR,ILO 1,138.0,S.E. ILO1,486.0,6.0,POINT (-71.36010850100001 -17.501688554999987)
69,480.0,ENERSUR,MOQUEGUA,220.0,S.E. MOQUEGUA,600.0,2.0,POINT (-70.96697249800002 -17.215449330000013)
70,481.0,REP,TOQUEPALA,138.0,S.E. TOQUEPALA_,0.0,0.0,POINT (-70.62478707399998 -17.26775842699999)
71,482.0,SOUTHERN,BOTIFLACA,138.0,S.E. BOTIFLACA,116.0,2.0,POINT (-70.76730759899999 -17.06157374899999)
72,483.0,ENERSUR,MILL SITE,138.0,S.E. MILLSITE,99.0,3.0,POINT (-70.624835915 -17.26882096899999)
73,484.0,ENERSUR,ILO 2,220.0,S.E. ILO2,338.0,2.0,POINT (-71.187544 -17.775569001000008)
74,485.0,REP,SOCABAYA,138.0,S.E. SOCABAYA,120.0,2.0,POINT (-71.51633625400001 -16.473409301999993)
75,486.0,SEAL,MAJES,138.0,S.E. MAJES,25.0,1.0,POINT (-72.168835231 -16.371991552999987)
76,487.0,REP,CERRO VERDE,220.0,S.E. CERRO VERDE,0.0,0.0,POINT (-71.59040186700003 -16.51753381499998)
77,488.0,REP,REPARTICION,138.0,S.E. REPARTICION,20.0,1.0,POINT (-71.79202845399999 -16.531938334000017)
78,489.0,CENTRO SOLAR MAJES,SAN CAMILO,138.0,S.E. SAN CAMILO,0.0,1.0,POINT (-71.81974895399998 -16.568489595000017)
79,490.0,REP,MARCONA,220.0,S.E. MARCONA,150.0,2.0,POINT (-75.17703739799998 -15.204646797999999)
80,491.0,ELECTRODUNAS,NASCA,60.0,S.E. NASCA,15.0,1.0,POINT (-74.95274393400001 -14.848063396999976)
81,492.0,REP,COMBAPATA,138.0,S.E. COMBAPATA,15.0,1.0,POINT (-71.43450924000001 -14.100577213999998)
