,OBJECTID,NOMBRE,POT_INSTAL,NOMINAL_1,geometry
0,27.0,MALABRIGO,12.0,138.0,POINT (-79.43601949100002 -7.7080416329999935)
1,28.0,YURIMAGUAS,0.0,220.0,POINT (-76.13890632099998 -5.910578364000003)
2,29.0,IQUITOS,14.0,220.0,POINT (-73.27195187299998 -3.773459322000008)
3,30.0,ORCOTUNA,250.0,220.0,POINT (-75.35324652000003 -11.988243613000009)
4,31.0,ONOCORA,0.0,220.0,POINT (-71.66204736499998 -14.09726996500001)
5,32.0,NUEVA SOCABAYA,0.0,500.0,POINT (-71.51898700599997 -16.475488783000003)
6,33.0,CARAPONGO,0.0,220.0,POINT (-76.85603799799998 -11.98333113199999)
7,34.0,NUEVA JICAMARCA,0.0,220.0,POINT (-76.878492849 -11.865208524000025)
8,35.0,NUEVA HUARAL,42.22,60.0,POINT (-77.197282444 -11.493707058999973)
9,36.0,CACLIC,0.0,220.0,POINT (-77.91000000000003 -6.180000000000007)
10,37.0,MANTARO,0.0,500.0,POINT (-74.64928286499998 -12.35998166600001)
11,38.0,S.E. NUEVA AZANGARO,,220.0,POINT (-70.20422245999998 -14.914594067999985)
12,39.0,S.E. NUEVA JULIACA,,220.0,POINT (-70.091897518 -15.509783492999986)
13,40.0,S.E. HUARICASHASH,100.0,220.0,POINT (-77.06708054 -9.763747044000013)
14,41.0,ILO 4,870.0,500.0,POINT (-71.22510181899997 -17.731319799999994)
15,42.0,FRIASPATA,40.0,220.0,POINT (-74.95160129800001 -12.785106383000027)
16,43.0,MOLLEPATA,40.0,220.0,POINT (-74.22082818000001 -13.117897356000014)
